dataset,seed,chunk_size,embedding,reranking,question,gold_answer,generated_answer,hit_at_k,latency_ms
squad,42,256,baai,False,"According to the wealth concentration theory, what advantage do the wealthy have in accumulating new wealth?",means to invest,"According to the wealth concentration theory, the wealthy have the means to invest in new sources of creating wealth or to otherwise leverage the accumulation of wealth.",1,2328.57
squad,42,256,baai,False,What happens when bathocyroe and ocyropsis clap their lobes together?,jet of expelled water drives them backwards very quickly.,They escape from danger by driving themselves backwards very quickly with the jet of expelled water.,1,2449.18
squad,42,256,baai,False,Who did Alexander I marry?,Sybilla of Normandy,Sybilla of Normandy.,1,2323.55
squad,42,256,baai,False,When are the new Sky Q products going to be available?,2016,2016.,1,2312.27
squad,42,256,baai,False,What city in Victoria is called the sporting capital of Australia?,Melbourne,Melbourne.,1,2266.73
squad,42,256,baai,False,What did Maududi believe Muslim society could not be Islamic in the absence of?,Sharia,Sharia.,1,2262.96
squad,42,256,baai,False,What would be needed to host a larger population?,agriculture,Agriculture.,1,2369.49
squad,42,256,baai,False,What Swiss city was the center of the Calvinist movement?,Geneva,Geneva.,1,2491.66
squad,42,256,baai,False,What was the very first television station to broadcast in Fresno?,KMJ-TV,"KMJ-TV, which debuted on June 1, 1953.",1,2281.44
squad,42,256,baai,False,When did France and the Dutch fight in the 17th century?,1672,1672.,1,2260.36
squad,42,256,baai,False,"Who suggested that imperialism was the ""highest"" form of capitalism?",Lenin,Lenin.,1,2342.89
squad,42,256,baai,False,How are ergänzungsschulen funded?,tuition,Ergänzungsschulen are funded in whole by charging their students tuition fees.,1,2377.39
squad,42,256,baai,False,What period did plates reverse directions to compress the Tethys floor?,Jurassic Period,The Jurassic Period.,1,2325.31
squad,42,512,baai,True,"What alumni wrote ""The Closing of the American Mind""?",Allan Bloom,Allan Bloom.,1,852.69
squad,42,512,baai,True,What molecules of the adaptive immune system only exist in jawed vertebrates?,immunoglobulins and T cell receptors,Immunoglobulins and T cell receptors.,1,580.39
squad,42,512,baai,True,In what year did Priestley publish the findings of his experiments?,1775,1775.,1,684.65
squad,42,512,baai,True,The presence of who is highly likely even in small projects?,the mortgage banker,The mortgage banker.,1,2535.5
squad,42,512,baai,True,To what pathogen that causes gas gangrene is oxygen poisonous?,anaerobic bacteria,Anaerobic bacteria.,1,2575.4
squad,42,512,baai,True,What did Tymnet connect ,"connect host computers (servers)at thousands of large companies, educational institutions, and government agencies","Host computers (servers) at thousands of large companies, educational institutions, and government agencies.",1,2991.11
squad,42,512,baai,True,What is the high end of the temperature range in winter?,70,70.,1,2381.22
squad,42,512,baai,True,"What month, every four years, are the ordinary general elections held on?",May,May.,1,2741.73
squad,42,512,baai,True,What entity owns V/Line?,Victorian Government,The Victorian Government.,1,2497.74
squad,42,512,baai,True,What law connects relative velocities with inertia?,Newton's First,Newton's First Law of Motion.,1,2722.91
squad,42,512,baai,True,How many times less is the strenght of the weak field compared to the strong?,1013,The strength of the weak field is 10^13 times less than that of the strong force.,1,2590.99
squad,42,512,baai,True,Persistent unemployment has what effect on long-term economic growth?,negative,It has a negative effect.,1,2550.05
squad,42,512,baai,True,What did Joseph Haas say in his email?,"""Wise up or die.""","""Wise up or die.""",1,2537.98
squad,42,512,baai,True,Where does the Rhine river's measurement begin?,Old Rhine Bridge at Constance,The Old Rhine Bridge at Constance.,1,2598.99
squad,42,512,baai,True,What have the two different Islamist movements been described as oscillating between?,poles,"Two poles: a strategy of Islamization through state power seized by revolution or invasion, and a ""reformist"" pole where Islamists work to Islamize society gradually ""from the bottom up"".",1,2624.72
squad,42,512,baai,True,When was the great plague of London?,1665,1665.,1,2613.6
squad,42,512,baai,True,What do clinical pharmacists often participate in?,patient care rounds drug product selection,Patient care rounds and drug product selection.,1,2524.52
squad,42,512,baai,True,Where do ctenophora live?,marine waters,Marine waters worldwide.,1,2908.59
squad,42,512,baai,True,A small fraction of the cold water flow from Lake Constance goes to what other lake?,Lake Überlingen,Lake Überlingen.,1,2598.36
squad,42,512,baai,True,Dendritic cells present antigens to what cells of the adaptive nervous system?,T cells,T cells.,1,2615.6
squad,42,512,baai,True,The Maroons compete in what league division?,NCAA's Division III,Division III.,1,2519.62
squad,42,512,baai,True,What Jacksonville community is known for having heavy ties to the Navy?,Filipino,The Filipino community in Jacksonville.,1,2657.07
squad,42,512,baai,True,How was the Dutch name for the Rhine originally spelled? ,Rhijn,Rijn (formerly also spelled Rhijn).,1,2634.05
squad,42,512,baai,True,What is another term for university-preparatory schools?,prep schools,"""prep schools""",1,2547.4
squad,42,512,baai,True,What are the skin cells that can be transformed into tumors known as?,melanocytes,Melanocytes.,1,2723.54
squad,42,512,baai,True,Who is eligible to toss their name in the hat to be First Minister?,Any member,Any member of Parliament.,1,2714.48
squad,42,512,baai,True,Which nation contains the majority of the amazon forest?,Brazil,Brazil.,1,2804.27
squad,42,512,baai,True,Starting in what year has Harvard topped the Academic Rankings of World Universities?,2003,2003.,1,2758.16
squad,42,512,baai,True,What are some existing facilities?,"electrical, water, sewage, phone, and cable facilities","Electrical, water, sewage, phone, and cable facilities.",1,2618.53
squad,42,512,baai,True,Where is much of the work of the Scottish Parliament done?,committee,In committee.,1,2547.31
squad,42,512,baai,True,What must the adoption of laws which will have legal effect in the EU have?,a proper legal basis,A proper legal basis.,1,2795.43
squad,42,512,baai,True,What is located within this district?,the oldest street in the United States of America,The oldest street in the United States of America.,1,2565.64
squad,42,512,baai,True,What garden was formally only for royalty?,The Saxon Garden,The Saxon Garden.,1,2948.05
squad,42,512,baai,True,When are subject committees established?,beginning of each parliamentary session,At the beginning of each parliamentary session.,1,2492.99
squad,42,512,baai,True,How many protestants live in France today?,one million,Approximately one million Protestants.,1,1090.77
squad,42,512,baai,True,What was the civil war against Ragibagh also called?,the War of the Two Capitals,The War of the Two Capitals.,1,1586.49
squad,42,512,baai,True,What is a twin prime?,pairs of primes with difference 2,Pairs of primes with a difference of 2.,1,1197.43
squad,42,512,baai,True,"According to the wealth concentration theory, what advantage do the wealthy have in accumulating new wealth?",means to invest,"According to the wealth concentration theory, the wealthy have the means to invest in new sources of creating wealth or to otherwise leverage the accumulation of wealth.",1,1047.22
squad,42,512,baai,True,What happens when bathocyroe and ocyropsis clap their lobes together?,jet of expelled water drives them backwards very quickly.,They escape from danger by driving themselves backwards very quickly with the jet of expelled water.,1,1735.71
squad,42,512,baai,True,Who did Alexander I marry?,Sybilla of Normandy,Sybilla of Normandy.,1,1586.5
squad,42,512,baai,True,When are the new Sky Q products going to be available?,2016,The new Sky Q products are to be available in 2016.,1,1381.73
squad,42,512,baai,True,What city in Victoria is called the sporting capital of Australia?,Melbourne,Melbourne.,1,1383.49
squad,42,512,baai,True,What did Maududi believe Muslim society could not be Islamic in the absence of?,Sharia,Sharia.,1,1069.87
squad,42,512,baai,True,What would be needed to host a larger population?,agriculture,Agriculture.,1,1096.65
squad,42,512,baai,True,What Swiss city was the center of the Calvinist movement?,Geneva,Geneva.,1,1643.34
squad,42,512,baai,True,What was the very first television station to broadcast in Fresno?,KMJ-TV,"KMJ-TV, which is now known as NBC affiliate KSEE.",1,1158.42
squad,42,512,baai,True,When did France and the Dutch fight in the 17th century?,1672,1672.,1,1208.01
squad,42,512,baai,True,"Who suggested that imperialism was the ""highest"" form of capitalism?",Lenin,The Russian leader Lenin.,1,1663.44
squad,42,512,baai,True,How are ergänzungsschulen funded?,tuition,Ergänzungsschulen are funded in whole by charging their students tuition fees.,1,2880.92
squad,42,512,baai,True,What period did plates reverse directions to compress the Tethys floor?,Jurassic Period,The Jurassic Period.,1,1485.07
squad,42,512,baai,False,"What alumni wrote ""The Closing of the American Mind""?",Allan Bloom,Allan Bloom.,1,657.77
squad,42,512,baai,False,What molecules of the adaptive immune system only exist in jawed vertebrates?,immunoglobulins and T cell receptors,Immunoglobulins and T cell receptors.,1,469.01
squad,42,512,baai,False,In what year did Priestley publish the findings of his experiments?,1775,1775.,1,541.67
squad,42,512,baai,False,The presence of who is highly likely even in small projects?,the mortgage banker,The mortgage banker.,1,2493.98
squad,42,512,baai,False,To what pathogen that causes gas gangrene is oxygen poisonous?,anaerobic bacteria,Anaerobic bacteria.,1,2453.1
squad,42,512,baai,False,What did Tymnet connect ,"connect host computers (servers)at thousands of large companies, educational institutions, and government agencies","Host computers (servers) at thousands of large companies, educational institutions, and government agencies.",1,2567.72
squad,42,512,baai,False,What is the high end of the temperature range in winter?,70,70.,1,2349.83
squad,42,512,baai,False,"What month, every four years, are the ordinary general elections held on?",May,May.,1,2551.05
squad,42,512,baai,False,What entity owns V/Line?,Victorian Government,The Victorian Government.,1,2415.73
squad,42,512,baai,False,What law connects relative velocities with inertia?,Newton's First,Newton's First Law of Motion.,1,2556.64
squad,42,512,baai,False,How many times less is the strenght of the weak field compared to the strong?,1013,The strength of the weak field is 10^13 times less than that of the strong force.,1,2501.14
squad,42,512,baai,False,Persistent unemployment has what effect on long-term economic growth?,negative,It has a negative effect.,1,2437.85
squad,42,512,baai,False,What did Joseph Haas say in his email?,"""Wise up or die.""","""Wise up or die.""",1,2565.58
squad,42,512,baai,False,Where does the Rhine river's measurement begin?,Old Rhine Bridge at Constance,The Old Rhine Bridge at Constance.,1,2612.43
squad,42,512,baai,False,What have the two different Islamist movements been described as oscillating between?,poles,"Two poles: a strategy of Islamization through state power seized by revolution or invasion, and a ""reformist"" pole where Islamists work to Islamize society gradually ""from the bottom up"".",1,2534.28
squad,42,512,baai,False,When was the great plague of London?,1665,1665.,1,2613.73
squad,42,512,baai,False,What do clinical pharmacists often participate in?,patient care rounds drug product selection,Patient care rounds and drug product selection.,1,2435.37
squad,42,512,baai,False,Where do ctenophora live?,marine waters,Marine waters worldwide.,1,2743.49
squad,42,512,baai,False,A small fraction of the cold water flow from Lake Constance goes to what other lake?,Lake Überlingen,Lake Überlingen.,1,2482.15
squad,42,512,baai,False,Dendritic cells present antigens to what cells of the adaptive nervous system?,T cells,T cells.,1,2651.78
squad,42,512,baai,False,The Maroons compete in what league division?,NCAA's Division III,Division III.,1,2454.56
squad,42,512,baai,False,What Jacksonville community is known for having heavy ties to the Navy?,Filipino,The Filipino community in Jacksonville.,1,2585.04
squad,42,512,baai,False,How was the Dutch name for the Rhine originally spelled? ,Rhijn,Rijn (formerly also spelled Rhijn).,1,2521.16
squad,42,512,baai,False,What is another term for university-preparatory schools?,prep schools,"""prep schools""",1,2846.28
squad,42,512,baai,False,What are the skin cells that can be transformed into tumors known as?,melanocytes,Melanocytes.,1,2626.92
squad,42,512,baai,False,Who is eligible to toss their name in the hat to be First Minister?,Any member,Any member of Parliament.,1,2623.28
squad,42,512,baai,False,Which nation contains the majority of the amazon forest?,Brazil,Brazil.,1,2596.0
squad,42,512,baai,False,Starting in what year has Harvard topped the Academic Rankings of World Universities?,2003,2003.,1,2646.8
squad,42,512,baai,False,What are some existing facilities?,"electrical, water, sewage, phone, and cable facilities","Electrical, water, sewage, phone, and cable facilities.",1,2444.6
squad,42,512,baai,False,Where is much of the work of the Scottish Parliament done?,committee,In committee.,1,2558.6
squad,42,512,baai,False,What must the adoption of laws which will have legal effect in the EU have?,a proper legal basis,A proper legal basis.,1,2529.83
squad,42,512,baai,False,What is located within this district?,the oldest street in the United States of America,The oldest street in the United States of America.,1,2616.44
squad,42,512,baai,False,What garden was formally only for royalty?,The Saxon Garden,The Saxon Garden.,1,2652.31
squad,42,512,baai,False,When are subject committees established?,beginning of each parliamentary session,At the beginning of each parliamentary session.,1,2453.5
squad,42,512,baai,False,How many protestants live in France today?,one million,Approximately one million Protestants.,1,2575.59
squad,42,512,baai,False,What was the civil war against Ragibagh also called?,the War of the Two Capitals,The War of the Two Capitals.,1,2613.52
squad,42,512,baai,False,What is a twin prime?,pairs of primes with difference 2,Pairs of primes with a difference of 2.,1,2494.15
squad,42,512,baai,False,"According to the wealth concentration theory, what advantage do the wealthy have in accumulating new wealth?",means to invest,"According to the wealth concentration theory, the wealthy have the means to invest in new sources of creating wealth or to otherwise leverage the accumulation of wealth.",1,2506.4
squad,42,512,baai,False,What happens when bathocyroe and ocyropsis clap their lobes together?,jet of expelled water drives them backwards very quickly.,They escape from danger by driving themselves backwards very quickly with the jet of expelled water.,1,2582.46
squad,42,512,baai,False,Who did Alexander I marry?,Sybilla of Normandy,Sybilla of Normandy.,1,2598.08
squad,42,512,baai,False,When are the new Sky Q products going to be available?,2016,The new Sky Q products are to be available in 2016.,1,2713.72
squad,42,512,baai,False,What city in Victoria is called the sporting capital of Australia?,Melbourne,Melbourne.,1,2770.84
squad,42,512,baai,False,What did Maududi believe Muslim society could not be Islamic in the absence of?,Sharia,Sharia.,1,2513.83
squad,42,512,baai,False,What would be needed to host a larger population?,agriculture,Agriculture.,1,2436.29
squad,42,512,baai,False,What Swiss city was the center of the Calvinist movement?,Geneva,Geneva.,1,2564.3
squad,42,512,baai,False,What was the very first television station to broadcast in Fresno?,KMJ-TV,"KMJ-TV, which is now known as NBC affiliate KSEE.",1,2495.17
squad,42,512,baai,False,When did France and the Dutch fight in the 17th century?,1672,1672.,1,2441.57
squad,42,512,baai,False,"Who suggested that imperialism was the ""highest"" form of capitalism?",Lenin,The Russian leader Lenin.,1,2578.31
squad,42,512,baai,False,How are ergänzungsschulen funded?,tuition,Ergänzungsschulen are funded in whole by charging their students tuition fees.,1,2506.66
squad,42,512,baai,False,What period did plates reverse directions to compress the Tethys floor?,Jurassic Period,The Jurassic Period.,1,2568.54
squad,42,1024,baai,True,"What alumni wrote ""The Closing of the American Mind""?",Allan Bloom,Allan Bloom.,1,978.29
squad,42,1024,baai,True,What molecules of the adaptive immune system only exist in jawed vertebrates?,immunoglobulins and T cell receptors,Immunoglobulins and T cell receptors.,1,896.71
squad,42,1024,baai,True,In what year did Priestley publish the findings of his experiments?,1775,1775.,1,951.78
squad,42,1024,baai,True,The presence of who is highly likely even in small projects?,the mortgage banker,The mortgage banker.,1,819.87
squad,42,1024,baai,True,To what pathogen that causes gas gangrene is oxygen poisonous?,anaerobic bacteria,Anaerobic bacteria.,1,912.46
squad,42,1024,baai,True,What did Tymnet connect ,"connect host computers (servers)at thousands of large companies, educational institutions, and government agencies","Host computers (servers) at thousands of large companies, educational institutions, and government agencies.",1,2955.8
squad,42,1024,baai,True,What is the high end of the temperature range in winter?,70,70.,1,2650.3
squad,42,1024,baai,True,"What month, every four years, are the ordinary general elections held on?",May,May.,1,1573.18
squad,42,1024,baai,True,What entity owns V/Line?,Victorian Government,The Victorian Government.,1,2756.53
squad,42,1024,baai,True,What law connects relative velocities with inertia?,Newton's First,Newton's First Law of Motion.,1,1583.45
squad,42,1024,baai,True,How many times less is the strenght of the weak field compared to the strong?,1013,1013 times less.,1,2904.45
squad,42,1024,baai,True,Persistent unemployment has what effect on long-term economic growth?,negative,It has a negative effect.,1,2916.27
squad,42,1024,baai,True,What did Joseph Haas say in his email?,"""Wise up or die.""","""Wise up or die.""",1,3017.73
squad,42,1024,baai,True,Where does the Rhine river's measurement begin?,Old Rhine Bridge at Constance,The Old Rhine Bridge at Constance.,1,795.65
squad,42,1024,baai,True,What have the two different Islamist movements been described as oscillating between?,poles,"Two poles: a strategy of Islamization through state power, and gradual Islamization from the bottom up.",1,2951.57
squad,42,1024,baai,True,When was the great plague of London?,1665,1665.,1,1099.72
squad,42,1024,baai,True,What do clinical pharmacists often participate in?,patient care rounds drug product selection,Patient care rounds and drug product selection.,1,2866.45
squad,42,1024,baai,True,Where do ctenophora live?,marine waters,Marine waters worldwide.,1,1230.36
squad,42,1024,baai,True,A small fraction of the cold water flow from Lake Constance goes to what other lake?,Lake Überlingen,Lake Überlingen.,1,1053.98
squad,42,1024,baai,True,Dendritic cells present antigens to what cells of the adaptive nervous system?,T cells,T cells.,1,2837.96
squad,42,1024,baai,True,The Maroons compete in what league division?,NCAA's Division III,Division III.,1,2845.43
squad,42,1024,baai,True,What Jacksonville community is known for having heavy ties to the Navy?,Filipino,The Filipino American community in Jacksonville.,1,2961.44
squad,42,1024,baai,True,How was the Dutch name for the Rhine originally spelled? ,Rhijn,The Dutch name for the Rhine was originally spelled as Rhijn.,1,1125.73
squad,42,1024,baai,True,What is another term for university-preparatory schools?,prep schools,"""prep schools""",1,2926.29
squad,42,1024,baai,True,What are the skin cells that can be transformed into tumors known as?,melanocytes,Melanocytes.,1,1104.8
squad,42,1024,baai,True,Who is eligible to toss their name in the hat to be First Minister?,Any member,Any member of Parliament.,1,1635.94
squad,42,1024,baai,True,Which nation contains the majority of the amazon forest?,Brazil,Brazil.,1,1824.93
squad,42,1024,baai,True,Starting in what year has Harvard topped the Academic Rankings of World Universities?,2003,2003.,1,1509.12
squad,42,1024,baai,True,What are some existing facilities?,"electrical, water, sewage, phone, and cable facilities","Electrical, water, sewage, phone, and cable facilities.",1,2790.99
squad,42,1024,baai,True,Where is much of the work of the Scottish Parliament done?,committee,In committee.,1,2811.25
squad,42,1024,baai,True,What must the adoption of laws which will have legal effect in the EU have?,a proper legal basis,A proper legal basis.,1,1566.72
squad,42,1024,baai,True,What is located within this district?,the oldest street in the United States of America,The oldest street in the United States of America.,1,2831.32
squad,42,1024,baai,True,What garden was formally only for royalty?,The Saxon Garden,The Saxon Garden.,1,1805.56
squad,42,1024,baai,True,When are subject committees established?,beginning of each parliamentary session,At the beginning of each parliamentary session.,1,2729.8
squad,42,1024,baai,True,How many protestants live in France today?,one million,Approximately one million Protestants.,1,2818.81
squad,42,1024,baai,True,What was the civil war against Ragibagh also called?,the War of the Two Capitals,The War of the Two Capitals.,1,1991.21
squad,42,1024,baai,True,What is a twin prime?,pairs of primes with difference 2,Pairs of primes with a difference of 2.,1,2992.42
